encodeID	biosample_term_name	biosample_type	biosample_term_id	filename	url	encode_url
ENCFF105WPE	IPS-18	cell_line	NA	IPS-18_CELL_LINE.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/IPS-18_CELL_LINE.bed.gz	https://www.encodeproject.org/files/ENCFF105WPE/@@download/ENCFF105WPE.bed.gz
ENCFF080OSA	SK-N-MC	cell_line	EFO:0002860	SK-N-MC.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/SK-N-MC.bed.gz	https://www.encodeproject.org/files/ENCFF080OSA/@@download/ENCFF080OSA.bed.gz
ENCFF989PNJ	brain	tissue	UBERON:0000955	FETAL_BRAIN_MALE.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/FETAL_BRAIN_MALE.bed.gz	https://www.encodeproject.org/files/ENCFF989PNJ/@@download/ENCFF989PNJ.bed.gz
ENCFF707CBA	ES-I3	cell_line	EFO:0007076	ES-I3_CELL_LINE.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/ES-I3_CELL_LINE.bed.gz	https://www.encodeproject.org/files/ENCFF707CBA/@@download/ENCFF707CBA.bed.gz
ENCFF921BGW	GM12865	cell_line	EFO:0005338	GM12865.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/GM12865.bed.gz	https://www.encodeproject.org/files/ENCFF921BGW/@@download/ENCFF921BGW.bed.gz
ENCFF241SVT	iPS_DF_19.11	cell_line	EFO:0007096	IPS_DF_19.11_CELL_LINE.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/IPS_DF_19.11_CELL_LINE.bed.gz	https://www.encodeproject.org/files/ENCFF241SVT/@@download/ENCFF241SVT.bed.gz
ENCFF707KUS	iPS_DF_6.9	cell_line	EFO:0007098	IPS_DF_6.9_CELL_LINE.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/IPS_DF_6.9_CELL_LINE.bed.gz	https://www.encodeproject.org/files/ENCFF707KUS/@@download/ENCFF707KUS.bed.gz
ENCFF895EWL	mucosa_of_rectum	tissue	UBERON:0003346	RECTAL_MUCOSA.DONOR_31.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/RECTAL_MUCOSA.DONOR_31.bed.gz	https://www.encodeproject.org/files/ENCFF895EWL/@@download/ENCFF895EWL.bed.gz
ENCFF299QFL	sigmoid_colon	tissue	UBERON:0001159	SIGMOID_COLON.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/SIGMOID_COLON.bed.gz	https://www.encodeproject.org/files/ENCFF299QFL/@@download/ENCFF299QFL.bed.gz
ENCFF913PHL	foreskin_melanocyte	primary_cell	CL:2000045	PENIS_FORESKIN_MELANOCYTE_PRIMARY_CELLS_SKIN01.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/PENIS_FORESKIN_MELANOCYTE_PRIMARY_CELLS_SKIN01.bed.gz	https://www.encodeproject.org/files/ENCFF913PHL/@@download/ENCFF913PHL.bed.gz
ENCFF659DOR	peripheral_blood_mononuclear_cell	primary_cell	CL:2000001	PERIPHERAL_BLOOD_MONONUCLEAR_PRIMARY_CELLS.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/PERIPHERAL_BLOOD_MONONUCLEAR_PRIMARY_CELLS.bed.gz	https://www.encodeproject.org/files/ENCFF659DOR/@@download/ENCFF659DOR.bed.gz
ENCFF451QJT	epithelial_cell_of_esophagus	primary_cell	CL:0002252	HEEPIC.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/HEEPIC.bed.gz	https://www.encodeproject.org/files/ENCFF451QJT/@@download/ENCFF451QJT.bed.gz
ENCFF758UIX	Panc1	cell_line	EFO:0002713	PANC-1.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/PANC-1.bed.gz	https://www.encodeproject.org/files/ENCFF758UIX/@@download/ENCFF758UIX.bed.gz
ENCFF145VNY	bronchial_epithelial_cell	primary_cell	CL:0002328	SAEC.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/SAEC.bed.gz	https://www.encodeproject.org/files/ENCFF145VNY/@@download/ENCFF145VNY.bed.gz
ENCFF657VMA	NB4	cell_line	EFO:0002798	NB4.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/NB4.bed.gz	https://www.encodeproject.org/files/ENCFF657VMA/@@download/ENCFF657VMA.bed.gz
ENCFF101AMQ	fibroblast_of_lung	primary_cell	CL:0002553	HPF.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/HPF.bed.gz	https://www.encodeproject.org/files/ENCFF101AMQ/@@download/ENCFF101AMQ.bed.gz
ENCFF184JUO	choroid_plexus_epithelial_cell	primary_cell	CL:0000706	HCPEPIC.bed.gz	https://noble.gs.washington.edu/proj/encyclopedia/interpreted/HCPEPIC.bed.gz	https://www.encodeproject.org/files/ENCFF184JUO/@@download/ENCFF184JUO.bed.gz
